time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
913.89962427,0.00465251,0.00032044,0.00000204,7044.00000000,0.00134044,0.000000,0.000000
913.99947749,0.00464185,0.00030168,0.00000156,7072.00000000,0.00096597,0.000000,0.000000
914.09931691,0.00463386,0.00053282,0.00000123,7097.00000000,0.00186987,0.000000,0.000000
914.19995353,0.00462546,0.00069348,0.00000128,7204.00000000,0.00171082,0.000000,0.000000
914.29979694,0.00462017,0.00110237,0.00000120,7348.00000000,0.00277730,0.000000,0.000000
914.39965212,0.00461418,0.00080506,0.00000153,7650.00000000,0.00252472,0.000000,0.000000
914.49948870,0.00460973,0.00096732,0.00000165,7862.00000000,0.00305397,0.000000,0.000000
914.59931134,0.00460556,0.00098789,0.00000139,7968.00000000,0.00313901,0.000000,0.000000
914.69995200,0.00460079,0.00086390,0.00000156,8263.00000000,0.00292445,0.000000,0.000000
914.79978224,0.00459771,0.00092446,0.00000168,8447.00000000,0.00350924,0.000000,0.000000
914.89962714,0.00459295,0.00076763,0.00000148,8616.00000000,0.00290824,0.000000,0.000000
914.99945830,0.00458898,0.00078756,0.00000144,8727.00000000,0.00318049,0.000000,0.000000
915.09930494,0.00458578,0.00078068,0.00000157,8877.00000000,0.00344676,0.000000,0.000000
915.19994166,0.00458601,0.00100873,0.00000153,9006.00000000,0.00466493,0.000000,0.000000
915.29978536,0.00458301,0.00073975,0.00000166,9057.00000000,0.00351079,0.000000,0.000000
915.39962148,0.00458294,0.00085824,0.00000218,9165.00000000,0.00455742,0.000000,0.000000
915.49944804,0.00459505,0.00149634,0.00000143,9316.00000000,0.00895535,0.000000,0.000000
915.59928902,0.00460457,0.00136951,0.00000167,9241.00000000,0.00804204,0.000000,0.000000
915.69993270,0.00460808,0.00146601,0.00000166,9351.00000000,0.00587892,0.000000,0.000000
915.79976634,0.00460511,0.00069792,0.00000141,9248.00000000,0.00352432,0.000000,0.000000
915.89960778,0.00460355,0.00090390,0.00000146,9412.00000000,0.00403605,0.000000,0.000000
915.99944432,0.00460624,0.00103342,0.00000165,9592.00000000,0.00558732,0.000000,0.000000
916.09928102,0.00460533,0.00092931,0.00000155,9716.00000000,0.00427563,0.000000,0.000000
916.19990414,0.00461208,0.00156579,0.00000191,9837.00000000,0.00708637,0.000000,0.000000
916.29973440,0.00461626,0.00146806,0.00000168,9908.00000000,0.00615748,0.000000,0.000000
916.39957822,0.00461436,0.00085970,0.00000152,9993.00000000,0.00391002,0.000000,0.000000
916.49942862,0.00461436,0.00080839,0.00000161,10063.00000000,0.00461396,0.000000,0.000000
916.59966610,0.00461273,0.00080643,0.00000152,10080.00000000,0.00401146,0.000000,0.000000
916.69950780,0.00461204,0.00086692,0.00000161,10144.00000000,0.00435548,0.000000,0.000000
